% of Delayed Flights,Airport Code,Airport Name,Minutes of Delay per Flight,Carrier Code,Carrier Name,City,Date,Minutes of Delay,Number of Flights,Ontime Category,State
,PHX,Phoenix Sky Harbor International,,9E,Pinnacle,Phoenix,1/1/2013,,0,Cancelled,AZ
0%,DEN,Denver International,,9E,Pinnacle,Denver,1/1/2013,,2,Cancelled,CO
0%,MCO,Orlando International,,9E,Pinnacle,Orlando,1/1/2013,,2,Cancelled,FL
0%,ATL,Hartsfield-Jackson Atlanta,,9E,Pinnacle,Atlanta,1/1/2013,,59,Cancelled,GA
0%,ORD,Chicago O'Hare International,,9E,Pinnacle,Chicago,1/1/2013,,13,Cancelled,IL
0%,BOS,Logan International,,9E,Pinnacle,Boston,1/1/2013,,9,Cancelled,MA
0%,BWI,Baltimore/Washington International,,9E,Pinnacle,Baltimore,1/1/2013,,10,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,9E,Pinnacle,Detroit,1/1/2013,,179,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,9E,Pinnacle,Minneapolis,1/1/2013,,80,Cancelled,MN
0%,CLT,Charlotte Douglas International,,9E,Pinnacle,Charlotte,1/1/2013,,7,Cancelled,NC
0%,EWR,Newark Liberty International,,9E,Pinnacle,Newark,1/1/2013,,3,Cancelled,NJ
0%,JFK,John F. Kennedy International,,9E,Pinnacle,New York,1/1/2013,,67,Cancelled,NY
0%,LGA,LaGuardia,,9E,Pinnacle,New York,1/1/2013,,6,Cancelled,NY
0%,DFW,Dallas/Fort Worth International,,9E,Pinnacle,Dallas/Fort Worth,1/1/2013,,2,Cancelled,TX
0%,IAH,George Bush Intercontinental,,9E,Pinnacle,Houston,1/1/2013,,3,Cancelled,TX
0%,SLC,Salt Lake City International,,9E,Pinnacle,Salt Lake City,1/1/2013,,6,Cancelled,UT
0%,PHX,Phoenix Sky Harbor International,,AA,American,Phoenix,1/1/2013,,7,Cancelled,AZ
0%,LAX,Los Angeles International,,AA,American,Los Angeles,1/1/2013,,31,Cancelled,CA
0%,SFO,San Francisco International,,AA,American,San Francisco,1/1/2013,,18,Cancelled,CA
0%,DEN,Denver International,,AA,American,Denver,1/1/2013,,2,Cancelled,CO
0%,MCO,Orlando International,,AA,American,Orlando,1/1/2013,,12,Cancelled,FL
0%,ATL,Hartsfield-Jackson Atlanta,,AA,American,Atlanta,1/1/2013,,14,Cancelled,GA
0%,ORD,Chicago O'Hare International,,AA,American,Chicago,1/1/2013,,65,Cancelled,IL
0%,BOS,Logan International,,AA,American,Boston,1/1/2013,,14,Cancelled,MA
0%,BWI,Baltimore/Washington International,,AA,American,Baltimore,1/1/2013,,2,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,AA,American,Detroit,1/1/2013,,3,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,AA,American,Minneapolis,1/1/2013,,8,Cancelled,MN
0%,CLT,Charlotte Douglas International,,AA,American,Charlotte,1/1/2013,,12,Cancelled,NC
0%,EWR,Newark Liberty International,,AA,American,Newark,1/1/2013,,10,Cancelled,NJ
0%,LAS,McCarran International,,AA,American,Las Vegas,1/1/2013,,4,Cancelled,NV
0%,JFK,John F. Kennedy International,,AA,American,New York,1/1/2013,,6,Cancelled,NY
0%,LGA,LaGuardia,,AA,American,New York,1/1/2013,,48,Cancelled,NY
0%,DFW,Dallas/Fort Worth International,,AA,American,Dallas/Fort Worth,1/1/2013,,338,Cancelled,TX
0%,IAH,George Bush Intercontinental,,AA,American,Houston,1/1/2013,,9,Cancelled,TX
0%,SLC,Salt Lake City International,,AA,American,Salt Lake City,1/1/2013,,2,Cancelled,UT
0%,SEA,Seattle/Tacoma International,,AA,American,Seattle,1/1/2013,,4,Cancelled,WA
0%,PHX,Phoenix Sky Harbor International,,AS,Alaska,Phoenix,1/1/2013,,1,Cancelled,AZ
,LAX,Los Angeles International,,AS,Alaska,Los Angeles,1/1/2013,,0,Cancelled,CA
0%,SFO,San Francisco International,,AS,Alaska,San Francisco,1/1/2013,,1,Cancelled,CA
,DEN,Denver International,,AS,Alaska,Denver,1/1/2013,,0,Cancelled,CO
,MCO,Orlando International,,AS,Alaska,Orlando,1/1/2013,,0,Cancelled,FL
,ATL,Hartsfield-Jackson Atlanta,,AS,Alaska,Atlanta,1/1/2013,,0,Cancelled,GA
,ORD,Chicago O'Hare International,,AS,Alaska,Chicago,1/1/2013,,0,Cancelled,IL
,BOS,Logan International,,AS,Alaska,Boston,1/1/2013,,0,Cancelled,MA
,MSP,Minneapolis-St Paul International,,AS,Alaska,Minneapolis,1/1/2013,,0,Cancelled,MN
,EWR,Newark Liberty International,,AS,Alaska,Newark,1/1/2013,,0,Cancelled,NJ
0%,LAS,McCarran International,,AS,Alaska,Las Vegas,1/1/2013,,1,Cancelled,NV
,DFW,Dallas/Fort Worth International,,AS,Alaska,Dallas/Fort Worth,1/1/2013,,0,Cancelled,TX
,IAH,George Bush Intercontinental,,AS,Alaska,Houston,1/1/2013,,0,Cancelled,TX
0%,SEA,Seattle/Tacoma International,,AS,Alaska,Seattle,1/1/2013,,14,Cancelled,WA
,PHX,Phoenix Sky Harbor International,,B6,JetBlue,Phoenix,1/1/2013,,0,Cancelled,AZ
,LAX,Los Angeles International,,B6,JetBlue,Los Angeles,1/1/2013,,0,Cancelled,CA
,SFO,San Francisco International,,B6,JetBlue,San Francisco,1/1/2013,,0,Cancelled,CA
,DEN,Denver International,,B6,JetBlue,Denver,1/1/2013,,0,Cancelled,CO
0%,MCO,Orlando International,,B6,JetBlue,Orlando,1/1/2013,,8,Cancelled,FL
,ORD,Chicago O'Hare International,,B6,JetBlue,Chicago,1/1/2013,,0,Cancelled,IL
0%,BOS,Logan International,,B6,JetBlue,Boston,1/1/2013,,9,Cancelled,MA
,BWI,Baltimore/Washington International,,B6,JetBlue,Baltimore,1/1/2013,,0,Cancelled,MD
,CLT,Charlotte Douglas International,,B6,JetBlue,Charlotte,1/1/2013,,0,Cancelled,NC
0%,EWR,Newark Liberty International,,B6,JetBlue,Newark,1/1/2013,,3,Cancelled,NJ
0%,LAS,McCarran International,,B6,JetBlue,Las Vegas,1/1/2013,,1,Cancelled,NV
0%,JFK,John F. Kennedy International,,B6,JetBlue,New York,1/1/2013,,6,Cancelled,NY
0%,LGA,LaGuardia,,B6,JetBlue,New York,1/1/2013,,3,Cancelled,NY
,DFW,Dallas/Fort Worth International,,B6,JetBlue,Dallas/Fort Worth,1/1/2013,,0,Cancelled,TX
0%,SLC,Salt Lake City International,,B6,JetBlue,Salt Lake City,1/1/2013,,1,Cancelled,UT
,SEA,Seattle/Tacoma International,,B6,JetBlue,Seattle,1/1/2013,,0,Cancelled,WA
0%,PHX,Phoenix Sky Harbor International,,DL,Delta,Phoenix,1/1/2013,,1,Cancelled,AZ
0%,LAX,Los Angeles International,,DL,Delta,Los Angeles,1/1/2013,,3,Cancelled,CA
0%,SFO,San Francisco International,,DL,Delta,San Francisco,1/1/2013,,1,Cancelled,CA
0%,DEN,Denver International,,DL,Delta,Denver,1/1/2013,,2,Cancelled,CO
0%,MCO,Orlando International,,DL,Delta,Orlando,1/1/2013,,3,Cancelled,FL
0%,ATL,Hartsfield-Jackson Atlanta,,DL,Delta,Atlanta,1/1/2013,,96,Cancelled,GA
0%,ORD,Chicago O'Hare International,,DL,Delta,Chicago,1/1/2013,,6,Cancelled,IL
0%,BOS,Logan International,,DL,Delta,Boston,1/1/2013,,1,Cancelled,MA
0%,BWI,Baltimore/Washington International,,DL,Delta,Baltimore,1/1/2013,,2,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,DL,Delta,Detroit,1/1/2013,,19,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,DL,Delta,Minneapolis,1/1/2013,,21,Cancelled,MN
0%,CLT,Charlotte Douglas International,,DL,Delta,Charlotte,1/1/2013,,2,Cancelled,NC
0%,EWR,Newark Liberty International,,DL,Delta,Newark,1/1/2013,,7,Cancelled,NJ
0%,LAS,McCarran International,,DL,Delta,Las Vegas,1/1/2013,,1,Cancelled,NV
0%,JFK,John F. Kennedy International,,DL,Delta,New York,1/1/2013,,3,Cancelled,NY
0%,LGA,LaGuardia,,DL,Delta,New York,1/1/2013,,19,Cancelled,NY
0%,DFW,Dallas/Fort Worth International,,DL,Delta,Dallas/Fort Worth,1/1/2013,,4,Cancelled,TX
0%,IAH,George Bush Intercontinental,,DL,Delta,Houston,1/1/2013,,1,Cancelled,TX
0%,SLC,Salt Lake City International,,DL,Delta,Salt Lake City,1/1/2013,,15,Cancelled,UT
0%,SEA,Seattle/Tacoma International,,DL,Delta,Seattle,1/1/2013,,1,Cancelled,WA
0%,DEN,Denver International,,EV,ExpressJet,Denver,1/1/2013,,50,Cancelled,CO
,MCO,Orlando International,,EV,ExpressJet,Orlando,1/1/2013,,0,Cancelled,FL
0%,ATL,Hartsfield-Jackson Atlanta,,EV,ExpressJet,Atlanta,1/1/2013,,157,Cancelled,GA
0%,ORD,Chicago O'Hare International,,EV,ExpressJet,Chicago,1/1/2013,,160,Cancelled,IL
0%,BOS,Logan International,,EV,ExpressJet,Boston,1/1/2013,,9,Cancelled,MA
0%,BWI,Baltimore/Washington International,,EV,ExpressJet,Baltimore,1/1/2013,,3,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,EV,ExpressJet,Detroit,1/1/2013,,46,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,EV,ExpressJet,Minneapolis,1/1/2013,,26,Cancelled,MN
0%,CLT,Charlotte Douglas International,,EV,ExpressJet,Charlotte,1/1/2013,,9,Cancelled,NC
0%,EWR,Newark Liberty International,,EV,ExpressJet,Newark,1/1/2013,,177,Cancelled,NJ
0%,JFK,John F. Kennedy International,,EV,ExpressJet,New York,1/1/2013,,2,Cancelled,NY
0%,LGA,LaGuardia,,EV,ExpressJet,New York,1/1/2013,,10,Cancelled,NY
0%,DFW,Dallas/Fort Worth International,,EV,ExpressJet,Dallas/Fort Worth,1/1/2013,,6,Cancelled,TX
0%,IAH,George Bush Intercontinental,,EV,ExpressJet,Houston,1/1/2013,,196,Cancelled,TX
0%,SLC,Salt Lake City International,,EV,ExpressJet,Salt Lake City,1/1/2013,,2,Cancelled,UT
,PHX,Phoenix Sky Harbor International,,F9,Frontier,Phoenix,1/1/2013,,0,Cancelled,AZ
,LAX,Los Angeles International,,F9,Frontier,Los Angeles,1/1/2013,,0,Cancelled,CA
,SFO,San Francisco International,,F9,Frontier,San Francisco,1/1/2013,,0,Cancelled,CA
0%,DEN,Denver International,,F9,Frontier,Denver,1/1/2013,,5,Cancelled,CO
0%,MCO,Orlando International,,F9,Frontier,Orlando,1/1/2013,,1,Cancelled,FL
,ATL,Hartsfield-Jackson Atlanta,,F9,Frontier,Atlanta,1/1/2013,,0,Cancelled,GA
,ORD,Chicago O'Hare International,,F9,Frontier,Chicago,1/1/2013,,0,Cancelled,IL
,DTW,Detroit Metro Wayne County,,F9,Frontier,Detroit,1/1/2013,,0,Cancelled,MI
,MSP,Minneapolis-St Paul International,,F9,Frontier,Minneapolis,1/1/2013,,0,Cancelled,MN
,LAS,McCarran International,,F9,Frontier,Las Vegas,1/1/2013,,0,Cancelled,NV
,LGA,LaGuardia,,F9,Frontier,New York,1/1/2013,,0,Cancelled,NY
,DFW,Dallas/Fort Worth International,,F9,Frontier,Dallas/Fort Worth,1/1/2013,,0,Cancelled,TX
,IAH,George Bush Intercontinental,,F9,Frontier,Houston,1/1/2013,,0,Cancelled,TX
0%,SLC,Salt Lake City International,,F9,Frontier,Salt Lake City,1/1/2013,,1,Cancelled,UT
0%,SEA,Seattle/Tacoma International,,F9,Frontier,Seattle,1/1/2013,,1,Cancelled,WA
,PHX,Phoenix Sky Harbor International,,FL,AirTran,Phoenix,1/1/2013,,0,Cancelled,AZ
,LAX,Los Angeles International,,FL,AirTran,Los Angeles,1/1/2013,,0,Cancelled,CA
,SFO,San Francisco International,,FL,AirTran,San Francisco,1/1/2013,,0,Cancelled,CA
,DEN,Denver International,,FL,AirTran,Denver,1/1/2013,,0,Cancelled,CO
0%,MCO,Orlando International,,FL,AirTran,Orlando,1/1/2013,,2,Cancelled,FL
0%,ATL,Hartsfield-Jackson Atlanta,,FL,AirTran,Atlanta,1/1/2013,,24,Cancelled,GA
0%,BOS,Logan International,,FL,AirTran,Boston,1/1/2013,,1,Cancelled,MA
0%,BWI,Baltimore/Washington International,,FL,AirTran,Baltimore,1/1/2013,,7,Cancelled,MD
,DTW,Detroit Metro Wayne County,,FL,AirTran,Detroit,1/1/2013,,0,Cancelled,MI
,MSP,Minneapolis-St Paul International,,FL,AirTran,Minneapolis,1/1/2013,,0,Cancelled,MN
0%,CLT,Charlotte Douglas International,,FL,AirTran,Charlotte,1/1/2013,,1,Cancelled,NC
,LAS,McCarran International,,FL,AirTran,Las Vegas,1/1/2013,,0,Cancelled,NV
0%,LGA,LaGuardia,,FL,AirTran,New York,1/1/2013,,4,Cancelled,NY
,PHX,Phoenix Sky Harbor International,,HA,Hawaiian,Phoenix,1/1/2013,,0,Cancelled,AZ
,LAX,Los Angeles International,,HA,Hawaiian,Los Angeles,1/1/2013,,0,Cancelled,CA
,SFO,San Francisco International,,HA,Hawaiian,San Francisco,1/1/2013,,0,Cancelled,CA
,LAS,McCarran International,,HA,Hawaiian,Las Vegas,1/1/2013,,0,Cancelled,NV
,JFK,John F. Kennedy International,,HA,Hawaiian,New York,1/1/2013,,0,Cancelled,NY
,SEA,Seattle/Tacoma International,,HA,Hawaiian,Seattle,1/1/2013,,0,Cancelled,WA
0%,LAX,Los Angeles International,,MQ,A. Eagle,Los Angeles,1/1/2013,,9,Cancelled,CA
,DEN,Denver International,,MQ,A. Eagle,Denver,1/1/2013,,0,Cancelled,CO
0%,ATL,Hartsfield-Jackson Atlanta,,MQ,A. Eagle,Atlanta,1/1/2013,,6,Cancelled,GA
0%,ORD,Chicago O'Hare International,,MQ,A. Eagle,Chicago,1/1/2013,,229,Cancelled,IL
0%,BWI,Baltimore/Washington International,,MQ,A. Eagle,Baltimore,1/1/2013,,4,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,MQ,A. Eagle,Detroit,1/1/2013,,8,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,MQ,A. Eagle,Minneapolis,1/1/2013,,7,Cancelled,MN
0%,CLT,Charlotte Douglas International,,MQ,A. Eagle,Charlotte,1/1/2013,,13,Cancelled,NC
0%,EWR,Newark Liberty International,,MQ,A. Eagle,Newark,1/1/2013,,8,Cancelled,NJ
0%,JFK,John F. Kennedy International,,MQ,A. Eagle,New York,1/1/2013,,18,Cancelled,NY
0%,LGA,LaGuardia,,MQ,A. Eagle,New York,1/1/2013,,41,Cancelled,NY
0%,DFW,Dallas/Fort Worth International,,MQ,A. Eagle,Dallas/Fort Worth,1/1/2013,,182,Cancelled,TX
0%,IAH,George Bush Intercontinental,,MQ,A. Eagle,Houston,1/1/2013,,3,Cancelled,TX
0%,SLC,Salt Lake City International,,MQ,A. Eagle,Salt Lake City,1/1/2013,,2,Cancelled,UT
0%,PHX,Phoenix Sky Harbor International,,OO,SkyWest,Phoenix,1/1/2013,,16,Cancelled,AZ
0%,LAX,Los Angeles International,,OO,SkyWest,Los Angeles,1/1/2013,,64,Cancelled,CA
0%,SFO,San Francisco International,,OO,SkyWest,San Francisco,1/1/2013,,120,Cancelled,CA
0%,DEN,Denver International,,OO,SkyWest,Denver,1/1/2013,,102,Cancelled,CO
0%,ATL,Hartsfield-Jackson Atlanta,,OO,SkyWest,Atlanta,1/1/2013,,5,Cancelled,GA
0%,ORD,Chicago O'Hare International,,OO,SkyWest,Chicago,1/1/2013,,96,Cancelled,IL
0%,DTW,Detroit Metro Wayne County,,OO,SkyWest,Detroit,1/1/2013,,4,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,OO,SkyWest,Minneapolis,1/1/2013,,76,Cancelled,MN
,CLT,Charlotte Douglas International,,OO,SkyWest,Charlotte,1/1/2013,,0,Cancelled,NC
0%,LAS,McCarran International,,OO,SkyWest,Las Vegas,1/1/2013,,5,Cancelled,NV
0%,DFW,Dallas/Fort Worth International,,OO,SkyWest,Dallas/Fort Worth,1/1/2013,,7,Cancelled,TX
0%,IAH,George Bush Intercontinental,,OO,SkyWest,Houston,1/1/2013,,27,Cancelled,TX
0%,SLC,Salt Lake City International,,OO,SkyWest,Salt Lake City,1/1/2013,,201,Cancelled,UT
0%,SEA,Seattle/Tacoma International,,OO,SkyWest,Seattle,1/1/2013,,28,Cancelled,WA
,PHX,Phoenix Sky Harbor International,,UA,United,Phoenix,1/1/2013,,0,Cancelled,AZ
0%,LAX,Los Angeles International,,UA,United,Los Angeles,1/1/2013,,10,Cancelled,CA
0%,SFO,San Francisco International,,UA,United,San Francisco,1/1/2013,,22,Cancelled,CA
0%,DEN,Denver International,,UA,United,Denver,1/1/2013,,12,Cancelled,CO
0%,MCO,Orlando International,,UA,United,Orlando,1/1/2013,,1,Cancelled,FL
,ATL,Hartsfield-Jackson Atlanta,,UA,United,Atlanta,1/1/2013,,0,Cancelled,GA
0%,ORD,Chicago O'Hare International,,UA,United,Chicago,1/1/2013,,51,Cancelled,IL
0%,BOS,Logan International,,UA,United,Boston,1/1/2013,,1,Cancelled,MA
,BWI,Baltimore/Washington International,,UA,United,Baltimore,1/1/2013,,0,Cancelled,MD
,DTW,Detroit Metro Wayne County,,UA,United,Detroit,1/1/2013,,0,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,UA,United,Minneapolis,1/1/2013,,6,Cancelled,MN
,CLT,Charlotte Douglas International,,UA,United,Charlotte,1/1/2013,,0,Cancelled,NC
0%,EWR,Newark Liberty International,,UA,United,Newark,1/1/2013,,35,Cancelled,NJ
0%,LAS,McCarran International,,UA,United,Las Vegas,1/1/2013,,2,Cancelled,NV
,JFK,John F. Kennedy International,,UA,United,New York,1/1/2013,,0,Cancelled,NY
0%,LGA,LaGuardia,,UA,United,New York,1/1/2013,,11,Cancelled,NY
0%,DFW,Dallas/Fort Worth International,,UA,United,Dallas/Fort Worth,1/1/2013,,4,Cancelled,TX
0%,IAH,George Bush Intercontinental,,UA,United,Houston,1/1/2013,,22,Cancelled,TX
0%,SLC,Salt Lake City International,,UA,United,Salt Lake City,1/1/2013,,1,Cancelled,UT
0%,SEA,Seattle/Tacoma International,,UA,United,Seattle,1/1/2013,,1,Cancelled,WA
0%,PHX,Phoenix Sky Harbor International,,US,US Airways,Phoenix,1/1/2013,,26,Cancelled,AZ
0%,LAX,Los Angeles International,,US,US Airways,Los Angeles,1/1/2013,,2,Cancelled,CA
0%,SFO,San Francisco International,,US,US Airways,San Francisco,1/1/2013,,1,Cancelled,CA
,DEN,Denver International,,US,US Airways,Denver,1/1/2013,,0,Cancelled,CO
0%,MCO,Orlando International,,US,US Airways,Orlando,1/1/2013,,2,Cancelled,FL
0%,ATL,Hartsfield-Jackson Atlanta,,US,US Airways,Atlanta,1/1/2013,,4,Cancelled,GA
0%,ORD,Chicago O'Hare International,,US,US Airways,Chicago,1/1/2013,,3,Cancelled,IL
0%,BOS,Logan International,,US,US Airways,Boston,1/1/2013,,36,Cancelled,MA
0%,BWI,Baltimore/Washington International,,US,US Airways,Baltimore,1/1/2013,,1,Cancelled,MD
,DTW,Detroit Metro Wayne County,,US,US Airways,Detroit,1/1/2013,,0,Cancelled,MI
,MSP,Minneapolis-St Paul International,,US,US Airways,Minneapolis,1/1/2013,,0,Cancelled,MN
0%,CLT,Charlotte Douglas International,,US,US Airways,Charlotte,1/1/2013,,59,Cancelled,NC
0%,EWR,Newark Liberty International,,US,US Airways,Newark,1/1/2013,,5,Cancelled,NJ
0%,LAS,McCarran International,,US,US Airways,Las Vegas,1/1/2013,,4,Cancelled,NV
0%,JFK,John F. Kennedy International,,US,US Airways,New York,1/1/2013,,5,Cancelled,NY
0%,LGA,LaGuardia,,US,US Airways,New York,1/1/2013,,34,Cancelled,NY
,DFW,Dallas/Fort Worth International,,US,US Airways,Dallas/Fort Worth,1/1/2013,,0,Cancelled,TX
0%,IAH,George Bush Intercontinental,,US,US Airways,Houston,1/1/2013,,2,Cancelled,TX
0%,SLC,Salt Lake City International,,US,US Airways,Salt Lake City,1/1/2013,,2,Cancelled,UT
,SEA,Seattle/Tacoma International,,US,US Airways,Seattle,1/1/2013,,0,Cancelled,WA
0%,LAX,Los Angeles International,,VX,Virgin,Los Angeles,1/1/2013,,1,Cancelled,CA
,SFO,San Francisco International,,VX,Virgin,San Francisco,1/1/2013,,0,Cancelled,CA
,MCO,Orlando International,,VX,Virgin,Orlando,1/1/2013,,0,Cancelled,FL
,ORD,Chicago O'Hare International,,VX,Virgin,Chicago,1/1/2013,,0,Cancelled,IL
,BOS,Logan International,,VX,Virgin,Boston,1/1/2013,,0,Cancelled,MA
,LAS,McCarran International,,VX,Virgin,Las Vegas,1/1/2013,,0,Cancelled,NV
,JFK,John F. Kennedy International,,VX,Virgin,New York,1/1/2013,,0,Cancelled,NY
,DFW,Dallas/Fort Worth International,,VX,Virgin,Dallas/Fort Worth,1/1/2013,,0,Cancelled,TX
,SEA,Seattle/Tacoma International,,VX,Virgin,Seattle,1/1/2013,,0,Cancelled,WA
0%,PHX,Phoenix Sky Harbor International,,WN,Southwest,Phoenix,1/1/2013,,24,Cancelled,AZ
0%,LAX,Los Angeles International,,WN,Southwest,Los Angeles,1/1/2013,,40,Cancelled,CA
0%,SFO,San Francisco International,,WN,Southwest,San Francisco,1/1/2013,,23,Cancelled,CA
0%,DEN,Denver International,,WN,Southwest,Denver,1/1/2013,,5,Cancelled,CO
0%,MCO,Orlando International,,WN,Southwest,Orlando,1/1/2013,,8,Cancelled,FL
,ATL,Hartsfield-Jackson Atlanta,,WN,Southwest,Atlanta,1/1/2013,,0,Cancelled,GA
0%,BOS,Logan International,,WN,Southwest,Boston,1/1/2013,,1,Cancelled,MA
0%,BWI,Baltimore/Washington International,,WN,Southwest,Baltimore,1/1/2013,,14,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,WN,Southwest,Detroit,1/1/2013,,1,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,WN,Southwest,Minneapolis,1/1/2013,,4,Cancelled,MN
0%,EWR,Newark Liberty International,,WN,Southwest,Newark,1/1/2013,,8,Cancelled,NJ
0%,LAS,McCarran International,,WN,Southwest,Las Vegas,1/1/2013,,24,Cancelled,NV
0%,LGA,LaGuardia,,WN,Southwest,New York,1/1/2013,,4,Cancelled,NY
0%,SLC,Salt Lake City International,,WN,Southwest,Salt Lake City,1/1/2013,,5,Cancelled,UT
0%,SEA,Seattle/Tacoma International,,WN,Southwest,Seattle,1/1/2013,,1,Cancelled,WA
0%,PHX,Phoenix Sky Harbor International,,YV,Mesa,Phoenix,1/1/2013,,8,Cancelled,AZ
0%,ATL,Hartsfield-Jackson Atlanta,,YV,Mesa,Atlanta,1/1/2013,,5,Cancelled,GA
0%,ORD,Chicago O'Hare International,,YV,Mesa,Chicago,1/1/2013,,26,Cancelled,IL
,BWI,Baltimore/Washington International,,YV,Mesa,Baltimore,1/1/2013,,0,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,YV,Mesa,Detroit,1/1/2013,,1,Cancelled,MI
0%,CLT,Charlotte Douglas International,,YV,Mesa,Charlotte,1/1/2013,,57,Cancelled,NC
,LAS,McCarran International,,YV,Mesa,Las Vegas,1/1/2013,,0,Cancelled,NV
0%,LGA,LaGuardia,,YV,Mesa,New York,1/1/2013,,6,Cancelled,NY
0%,DFW,Dallas/Fort Worth International,,YV,Mesa,Dallas/Fort Worth,1/1/2013,,4,Cancelled,TX
,PHX,Phoenix Sky Harbor International,,9E,Pinnacle,Phoenix,1/1/2013,0,0,Delayed by Carrier,AZ
100%,DEN,Denver International,23,9E,Pinnacle,Denver,1/1/2013,14,0.61,Delayed by Carrier,CO
100%,MCO,Orlando International,18,9E,Pinnacle,Orlando,1/1/2013,18,1,Delayed by Carrier,FL
100%,ATL,Hartsfield-Jackson Atlanta,85,9E,Pinnacle,Atlanta,1/1/2013,4686,55.45,Delayed by Carrier,GA
100%,ORD,Chicago O'Hare International,102,9E,Pinnacle,Chicago,1/1/2013,2192,21.43,Delayed by Carrier,IL
100%,BOS,Logan International,92,9E,Pinnacle,Boston,1/1/2013,1426,15.48,Delayed by Carrier,MA
100%,BWI,Baltimore/Washington International,86,9E,Pinnacle,Baltimore,1/1/2013,1760,20.54,Delayed by Carrier,MD
100%,DTW,Detroit Metro Wayne County,114,9E,Pinnacle,Detroit,1/1/2013,21892,192,Delayed by Carrier,MI
100%,MSP,Minneapolis-St Paul International,112,9E,Pinnacle,Minneapolis,1/1/2013,12264,109.9,Delayed by Carrier,MN
100%,CLT,Charlotte Douglas International,104,9E,Pinnacle,Charlotte,1/1/2013,587,5.62,Delayed by Carrier,NC
100%,EWR,Newark Liberty International,77,9E,Pinnacle,Newark,1/1/2013,432,5.63,Delayed by Carrier,NJ
100%,JFK,John F. Kennedy International,83,9E,Pinnacle,New York,1/1/2013,5810,69.88,Delayed by Carrier,NY
100%,LGA,LaGuardia,179,9E,Pinnacle,New York,1/1/2013,756,4.23,Delayed by Carrier,NY
100%,DFW,Dallas/Fort Worth International,61,9E,Pinnacle,Dallas/Fort Worth,1/1/2013,789,13.04,Delayed by Carrier,TX
100%,IAH,George Bush Intercontinental,37,9E,Pinnacle,Houston,1/1/2013,161,4.37,Delayed by Carrier,TX
100%,SLC,Salt Lake City International,211,9E,Pinnacle,Salt Lake City,1/1/2013,1127,5.33,Delayed by Carrier,UT
100%,PHX,Phoenix Sky Harbor International,43,AA,American,Phoenix,1/1/2013,1771,40.8,Delayed by Carrier,AZ
100%,LAX,Los Angeles International,71,AA,American,Los Angeles,1/1/2013,8782,123.73,Delayed by Carrier,CA
100%,SFO,San Francisco International,55,AA,American,San Francisco,1/1/2013,3158,57.01,Delayed by Carrier,CA
100%,DEN,Denver International,45,AA,American,Denver,1/1/2013,1566,34.89,Delayed by Carrier,CO
100%,MCO,Orlando International,42,AA,American,Orlando,1/1/2013,3032,71.42,Delayed by Carrier,FL
100%,ATL,Hartsfield-Jackson Atlanta,45,AA,American,Atlanta,1/1/2013,1797,39.89,Delayed by Carrier,GA
100%,ORD,Chicago O'Hare International,81,AA,American,Chicago,1/1/2013,13824,171.51,Delayed by Carrier,IL
100%,BOS,Logan International,49,AA,American,Boston,1/1/2013,2820,57.82,Delayed by Carrier,MA
100%,BWI,Baltimore/Washington International,44,AA,American,Baltimore,1/1/2013,884,20.23,Delayed by Carrier,MD
100%,DTW,Detroit Metro Wayne County,42,AA,American,Detroit,1/1/2013,489,11.64,Delayed by Carrier,MI
100%,MSP,Minneapolis-St Paul International,44,AA,American,Minneapolis,1/1/2013,677,15.3,Delayed by Carrier,MN
100%,CLT,Charlotte Douglas International,35,AA,American,Charlotte,1/1/2013,458,13.07,Delayed by Carrier,NC
100%,EWR,Newark Liberty International,66,AA,American,Newark,1/1/2013,858,13.06,Delayed by Carrier,NJ
100%,LAS,McCarran International,48,AA,American,Las Vegas,1/1/2013,2043,42.97,Delayed by Carrier,NV
100%,JFK,John F. Kennedy International,81,AA,American,New York,1/1/2013,5364,66.13,Delayed by Carrier,NY
100%,LGA,LaGuardia,47,AA,American,New York,1/1/2013,2826,59.52,Delayed by Carrier,NY
100%,DFW,Dallas/Fort Worth International,73,AA,American,Dallas/Fort Worth,1/1/2013,34386,470.16,Delayed by Carrier,TX
100%,IAH,George Bush Intercontinental,43,AA,American,Houston,1/1/2013,1036,24.31,Delayed by Carrier,TX
100%,SLC,Salt Lake City International,42,AA,American,Salt Lake City,1/1/2013,969,23.3,Delayed by Carrier,UT
